DEPORTIVO	np00000	B-NP
AMARGO	aq0ms0	B-NP
PARTIDO	ncms000	I-NP
NÚMERO	ncms000	I-NP
MIL	aq0ms0	I-NP
DE	sps00	I-NP
LUIS_ARAGONÉS	np00000	I-NP
EN	sps00	I-NP
PRIMERA	ncfs000	I-NP
Luis_Aragonés	np00000	B-NP
,	fc	I-NP
entrenador	ncms000	I-NP
del	spcms	I-NP
Oviedo	np00000	I-NP
,	fc	O
no	rn	O
pudo	vmis3s0	B-VP
celebrar	vmn0000	I-VP
su	dp3cs0	B-NP
partido	ncms000	I-NP
número	ncms000	I-NP
1.000		I-NP
en	sps00	I-NP
la	da0fs0	I-NP
Primera_División	np00000	I-NP
española	aq0fs0	I-NP
-	fg	B-NP
360		I-NP
como	cs	I-NP
jugador	ncms000	I-NP
y	cc	I-NP
640		I-NP
como	cs	I-NP
técnico	ncms000	I-NP
-	fg	I-NP
con	sps00	O
un	di0ms0	B-NP
buen	aq0ms0	I-NP
resultado	ncms000	I-NP
.	fp	O
El	da0ms0	B-NP
Deportivo	np00000	I-NP
le	pp3csd00	B-NP
amargó	vmis3s0	B-VP
la	da0fs0	B-NP
fiesta	ncfs000	I-NP
con	sps00	O
un	di0ms0	B-NP
triunfo	ncms000	I-NP
por	sps00	I-NP
3-1		I-NP
que	pr0cn000	O
le	pp3csd00	B-NP
afianza	vmip3s0	B-VP
en	sps00	O
el	da0ms0	B-NP
liderato	ncms000	I-NP
y	cc	O
hunde	vmip3s0	B-VP
en	sps00	O
la	da0fs0	B-NP
zona	ncfs000	I-NP
de	sps00	I-NP
descenso	ncms000	I-NP
al	spcms	O
conjunto	ncms000	B-NP
asturiano	aq0ms0	I-NP
.	fp	O
El	da0ms0	B-NP
duelo	ncms000	I-NP
entre	sps00	I-NP
el	da0ms0	I-NP
mejor	aq0cs0	I-NP
equipo	ncms000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
Liga	np00000	I-NP
en	sps00	I-NP
casa	ncfs000	I-NP
y	cc	I-NP
el	da0ms0	I-NP
peor	aq0cs0	I-NP
a	sps00	I-NP
domicilio	ncms000	I-NP
lo	pp3msa00	I-NP
decidieron	vmis3p0	B-VP
Roy_Makaay	np00000	B-NP
,	fc	I-NP
autor	ncms000	I-NP
de	sps00	I-NP
dos	dn0cp0	I-NP
tantos	ncmp000	I-NP
,	fc	I-NP
y	cc	I-NP
Donato	np00000	I-NP
,	fc	O
que	pr0cn000	O
firmó	vmis3s0	B-VP
uno	pi0ms000	B-NP
.	fp	O
El	da0ms0	B-NP
delantero	ncms000	I-NP
holandés	aq0ms0	I-NP
ya	rg	O
tiene	vmip3s0	B-VP
15		B-NP
en	sps00	O
su	dp3cs0	B-NP
haber	ncms000	I-NP
en	sps00	O
la	da0fs0	B-NP
presente	aq0cs0	I-NP
Liga	np00000	I-NP
.	fp	O
