CUARTO	ao0ms0	B-NP
TRIUNFO	ncms000	I-NP
CONSECUTIVO	aq0ms0	I-NP
DEL	spcms	I-NP
FC_BARCELONA	np00000	I-NP
El	da0ms0	B-NP
FC_Barcelona	np00000	I-NP
se	p0300000	O
impuso	vmis3s0	B-VP
al	spcms	O
Málaga	np00000	B-NP
(	fpa	B-NP
1-2		I-NP
)	fpt	I-NP
en	sps00	O
La_Rosaleda	np00000	B-NP
y	cc	O
logró	vmis3s0	B-VP
su	dp3cs0	B-NP
cuarta	ao0fs0	I-NP
victoria	ncfs000	I-NP
consecutiva	aq0fs0	I-NP
y	cc	I-NP
la	da0fs0	I-NP
novena	ao0fs0	I-NP
en	sps00	I-NP
toda	di0fs0	I-NP
su	dp3cs0	I-NP
historia	ncfs000	I-NP
en	sps00	O
terreno	ncms000	B-NP
del	spcms	I-NP
equipo	ncms000	I-NP
andaluz	aq0ms0	I-NP
,	fc	O
donde	pr000000	O
también	rg	O
ha	vaip3s0	B-VP
cosechado	vmp00sm	I-VP
seis	dn0cp0	B-NP
empates	ncmp000	I-NP
y	cc	I-NP
seis	dn0cp0	I-NP
derrotas	ncfp000	I-NP
.	fp	O
Patrick_Kluivert	np00000	B-NP
convirtió	vmis3s0	B-VP
el	da0ms0	B-NP
polémico	aq0ms0	I-NP
penalti	ncms000	I-NP
que	pr0cn000	O
dio	vmis3s0	B-VP
el	da0ms0	B-NP
triunfo	ncms000	I-NP
al	spcms	O
equipo	ncms000	B-NP
azulgrana	aq0cs0	I-NP
y	cc	O
ya	rg	O
suma	vmip3s0	B-VP
diez	dn0cp0	B-NP
dianas	ncfp000	I-NP
en	sps00	O
lo	da0ns0	B-NP
que	pr0cn000	O
va	vmip3s0	B-VP
de	sps00	O
Liga	np00000	B-NP
.	fp	O
El	da0ms0	B-NP
Málaga	np00000	I-NP
volvió	vmis3s0	B-VP
a	sps00	I-VP
sentir	vmn0000	I-VP
el	da0ms0	B-NP
sabor	ncms000	I-NP
amargo	aq0ms0	I-NP
de	sps00	I-NP
una	di0fs0	I-NP
derrota	ncfs000	I-NP
después	rg	O
de	sps00	O
cinco	dn0cp0	B-NP
jornadas	ncfp000	I-NP
sin	sps00	O
perder	vmn0000	O
.	fp	O
