MESTALLA	np00000	B-NP
SIGUE	vmip3s0	B-VP
SIENDO	vmg0000	I-VP
UN	di0ms0	B-NP
ESTADIO	ncms000	I-NP
MALDITO	aq0ms0	I-NP
PARA	sps00	O
EL	da0ms0	B-NP
MALLORCA	np00000	I-NP
El	da0ms0	B-NP
Mallorca	np00000	I-NP
perdió	vmis3s0	B-VP
1-0		B-NP
ante	sps00	O
el	da0ms0	B-NP
Valencia	np00000	I-NP
y	cc	O
sigue	vmip3s0	B-VP
sin	sps00	O
conocer	vmn0000	O
la	da0fs0	B-NP
victoria	ncfs000	I-NP
en	sps00	O
el	da0ms0	B-NP
estadio	ncms000	I-NP
Mestalla	np00000	I-NP
.	fp	O
El	da0ms0	B-NP
equipo	ncms000	I-NP
mallorquín	aq0ms0	I-NP
ha	vaip3s0	B-VP
visitado	vmp00sm	I-VP
en	sps00	O
Liga	np00000	B-NP
al	spcms	O
Valencia	np00000	B-NP
en	sps00	O
trece	dn0cp0	B-NP
ocasiones	ncfp000	I-NP
,	fc	O
con	sps00	O
un	di0ms0	B-NP
bagaje	ncms000	I-NP
de	sps00	I-NP
nueve	dn0cp0	I-NP
derrotas	ncfp000	I-NP
y	cc	I-NP
cuatro	dn0cp0	I-NP
empates	ncmp000	I-NP
.	fp	O
Fernando_Vázquez	np00000	B-NP
,	fc	I-NP
entrenador	ncms000	I-NP
del	spcms	I-NP
Mallorca	np00000	I-NP
,	fc	O
tampoco	rg	O
ha	vaip3s0	B-VP
ganado	vmp00sm	I-VP
nunca	rg	O
en	sps00	O
Valencia	np00000	B-NP
.	fp	O
El	da0ms0	B-NP
técnico	ncms000	I-NP
gallego	aq0ms0	I-NP
ha	vaip3s0	B-VP
perdido	vmp00sm	I-VP
las	da0fp0	B-NP
cinco	dn0cp0	I-NP
veces	ncfp000	I-NP
que	pr0cn000	O
ha	vaip3s0	B-VP
visitado	vmp00sm	I-VP
al	spcms	O
conjunto	ncms000	B-NP
que	pr0cn000	O
ahora	rg	O
dirige	vmip3s0	B-VP
Héctor_Cúper	np00000	B-NP
.	fp	O
