EL	da0m00	B-NP
NUMANCIA	np00000	I-NP
DEJA	vmip3s0	B-VP
AL	spcms	O
ATLÉTICO	np00000	B-NP
MÁS	rg	O
CERCA	rg	O
DE	sps00	O
SEGUNDA	np00000	B-NP
El	da0ms0	B-NP
Numancia	np00000	I-NP
firmó	vmis3s0	B-VP
una	di0fs0	B-NP
goleada	ncfs000	I-NP
sobre	sps00	I-NP
el	da0ms0	I-NP
Atlético_de_Madrid	np00000	I-NP
(	fpa	B-NP
3-0		I-NP
)	fpt	I-NP
que	pr0cn000	O
le	pp3csd00	B-NP
sirve	vmip3s0	B-VP
para	sps00	O
alejarse	vmn0000	O
momentáneamente	rg	O
de	sps00	O
la	da0fs0	B-NP
zona	ncfs000	I-NP
de	sps00	I-NP
descenso	ncms000	I-NP
y	cc	O
que	pr0cn000	O
deja	vmip3s0	B-VP
al	spcms	O
equipo	ncms000	B-NP
rojiblanco	aq0ms0	I-NP
un_poco	rg	O
más	rg	O
cerca	rg	O
de	sps00	O
la	da0fs0	B-NP
Segunda_División	np00000	I-NP
.	fp	O
El	da0ms0	B-NP
equipo	ncms000	I-NP
soriano	aq0ms0	I-NP
rompió	vmis3s0	B-VP
una	di0fs0	B-NP
racha	ncfs000	I-NP
de	sps00	I-NP
cinco	dn0cp0	I-NP
jornadas	ncfp000	I-NP
sin	sps00	O
conseguir	vmn0000	O
un	di0ms0	B-NP
triunfo	ncms000	I-NP
.	fp	O
La	da0fs0	B-NP
del	spcms	I-NP
Atlético_de_Madrid	np00000	I-NP
es	vsip3s0	B-VP
preocupante	aq0cs0	O
.	fp	O
Los	da0mp0	B-NP
hombres	ncmp000	I-NP
que	pr0cn000	O
ahora	rg	O
entrena	vmip3s0	B-VP
Radomir_Antic	np00000	B-NP
no	rn	O
han	vaip3p0	B-VP
ganado	vmp00sm	I-VP
ninguno	pi0ms000	B-NP
de	sps00	I-NP
sus	dp3cp0	I-NP
últimos	ao0mp0	I-NP
ocho	dn0cp0	I-NP
compromisos	ncmp000	I-NP
ligueros	aq0mp0	I-NP
.	fp	O
